rnti ts msg Attackornot
99 0.3701364994049072 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
100 0.3580641746520996 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
101 0.3540492057800293 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
102 0.3659381866455078 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
103 0.3778984546661377 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
104 0.36977195739746094 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
105 0.0003924369812011719 "RRCSetupRequest, RRCSetup" Benign
106 0.0003788471221923828 "RRCSetupRequest, RRCSetup" Benign
107 0.00038242340087890625 "RRCSetupRequest, RRCSetup" Benign
108 0.0003871917724609375 "RRCSetupRequest, RRCSetup" Benign
109 0.00036525726318359375 "RRCSetupRequest, RRCSetup" Benign
110 1.4489538669586182 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
111 0.0003910064697265625 "RRCSetupRequest, RRCSetup" Benign
112 0.00038623809814453125 "RRCSetupRequest, RRCSetup" Benign
113 0.0003631114959716797 "RRCSetupRequest, RRCSetup" Benign
114 0.000362396240234375 "RRCSetupRequest, RRCSetup" Benign
115 2.1250832080841064 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Identityrequest, Identityresponse, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
116 0.0002739429473876953 "RRCSetupRequest, RRCSetup" Benign
117 0.00026726722717285156 "RRCSetupRequest, RRCSetup" Benign
118 0.00026488304138183594 "RRCSetupRequest, RRCSetup" Benign
119 0.0002663135528564453 "RRCSetupRequest, RRCSetup" Benign
120 0.0003829002380371094 "RRCSetupRequest, RRCSetup" Benign
121 0.00038123130798339844 "RRCSetupRequest, RRCSetup" Benign
122 0.0003726482391357422 "RRCSetupRequest, RRCSetup" Benign
123 0.00042319297790527344 "RRCSetupRequest, RRCSetup" Benign
124 0.0003712177276611328 "RRCSetupRequest, RRCSetup" Benign
125 0.0003800392150878906 "RRCSetupRequest, RRCSetup" Benign
126 0.00027561187744140625 "RRCSetupRequest, RRCSetup" Benign
127 0.00026345252990722656 "RRCSetupRequest, RRCSetup" Benign
128 0.0002791881561279297 "RRCSetupRequest, RRCSetup" Benign
129 0.0002827644348144531 "RRCSetupRequest, RRCSetup" Benign
130 0.0002665519714355469 "RRCSetupRequest, RRCSetup" Benign
131 0.2937448024749756 "RRCSetupRequest, RRCSetup, RRCSetupComplete, Registrationrequest, Authenticationrequest, Authenticationresponse, Securitymodecommand, Securitymodecomplete, SecurityModeCommand, SecurityModeComplete" Benign
